recording_id,true_label,predicted_label,category,detail,keyword_count,asr_quality,word_count,repetition_rate,transcript
890001000492658,Low,Low,CORRECT,,0.0,1.0,21.0,0.1052631578947368,ලවනා ක්‍රණු අධ්‍යස්ථානයි. අධ්‍යවන් හක්තේ අධ්‍යවන් යන්න දැබුත්තේක අවපාරේ කෘපිද්ව 
890001000492659,Low,High,MODEL_OVERRIDE,"text signal present, acoustics also closer to true class (z=0.77 vs 0.94 for predicted) - model still got it wrong",0.0,1.0,21.0,0.0,අනේ සැර මම් එකක්ත් කරන බුද්තලම සාලිවහන්දී රාජන්ගනේ දොරවල්ලරීන්න කලාය වත්‍ර නිහිල
890001000492661,Low,Medium,ASR_FAILURE,no keywords or context features fired,0.0,1.0,39.0,0.1142857142857142,අය්බවන් අබම් කොලෙන් වන්වාද්පුරේයට යන්න කිරවකු උත්තරස් කිරවදු ඒ හැරිය නැතියි රකුන
890001000492665,Low,Medium,ASR_FAILURE,no keywords or context features fired,0.0,1.0,29.0,0.0357142857142857,මහස් මෙහිම් මෙමට දහගැන්පු අඬු සංමියි යියි අඬ්‍රදිපුරි පැතර ද්මාතුර තියෙනාදි යොල්
890001000492675,Low,Medium,ASR_FAILURE,no keywords or context features fired,0.0,1.0,34.0,0.064516129032258,අයිගාමාන් විකිවල කවිත ජහන්සුරු ආවනු යාභායන් හාවමේ ක්‍රයන්වාවතේ වාරිය පැත්ත්වෙන් 
890001000492722,Low,Low,CORRECT,,0.0,1.0,14.0,0.0769230769230769,අයිබවන් ආපදාකලම නැක්න පත්වත්තන් පත්වය කැනවේ ජන පත්වෙකුත් කියිල්ල පත්වාමාබින් ගත්
890001000492735,Low,Low,CORRECT,,0.0,1.0,105.0,0.1025641025641025,අයබොම් අත්‍යා නේ මොඳැලිසිකෙන් අර කුමුක්කම හිය පාලමේදී මේ වතුරු දැම්මනේ මකේ සේවිස
890001000492744,High,High,CORRECT,,0.0,1.0,41.0,0.1212121212121212,අයුගොන් මතමේ මේ කතා කරන්නේ ඇල්ල උව කර්නවොල්ල කර්නගොල්ල එකර් හයක් විතරැ කෑල්ලක් ප
Call recording +251127_114430,Low,High,MODEL_OVERRIDE,"text signal present, acoustics also closer to true class (z=0.64 vs 0.85 for predicted) - model still got it wrong",0.0,1.0,35.0,0.1034482758620689,මස් මමස් කරන්නේ අළුග්ගවමික් අළුග්ගමාර්නේ මොනා හරි මේ සුනාමි හරි සුළු සුළන් හරි අ
Call recording +251128_074424,Medium,Medium,CORRECT,,0.0,1.0,18.0,0.125,ගින්දුවයි අතයි එකයි.ඔයි අතයි එකයි.ඔයි.උසිතුණයි.උසිතුණයි.පහයි..යි.යි.යි.යි.යි.යි.
Call recording 0_251128_090910,Low,Medium,ASR_FAILURE,no keywords or context features fired,0.0,1.0,33.0,0.238095238095238,මං වින්නේ පිත්වලම පිත්වෙන්ගමයි මත දෙක් වෙන්න පාර පුමත් ගන්නැයි බේමොම් පිත්වලම පේ
Call recording 0_251129_090737,Medium,High,ASR_FAILURE,no keywords or context features fired,0.0,1.0,51.0,0.0408163265306122,එළ මිශ්‍ර දසුන් මම යෝසින් කත අයරන්නේ එම ජොප්‍ර මෙද මිස්ල ද්‍ර දාසවන් මෙය මම මෙයක
Call recording 2215053,High,High,CORRECT,,0.0,1.0,90.0,0.0684931506849315,අයුම් යාපුට අයිකෙන්මේ මාත්‍යා මාත්‍යා මේ මොමක අයිකාවලින් කථාකරන්නේ යිට් යෙට් යිට
Call recording 251127_191819,High,Low,ASR_FAILURE,no keywords or context features fired,0.0,1.0,64.0,0.0434782608695652,ආංගුහන්සේ ඔයිබාන්සේ මංගටාගරන්න මගෙමේ පවුලකට්‍යයක් හිරවෙලයින්ම බදුල්ලිමේ බුලප්ත්ව
Call recording 251128_000340,Medium,Low,MODEL_OVERRIDE,"text signal present, acoustics also closer to true class (z=1.11 vs 1.24 for predicted) - model still got it wrong",1.0,1.0,27.0,0.0384615384615384,අපිට පොඩි අපුදාවකල දින්නෙ?දෝගම්බල බෙදිස ලො ඇල්ලකනාව ග්‍යයක් කිට යටිවෙල දීනෙ?නුවර
Call recording 251128_051228,High,Medium,UNCLEAR,"z_true=0.94 z_pred=0.82, no dominant signal",2.0,1.0,31.0,0.1153846153846153,අපදායක ද අනේ අපි මේ කදාගරන්න මේ ගෙළුවේ දැනෙ නුවර්යයක් දැන් අඳී හළක් පිර වසුරු යට
Call recording 251128_061456,High,High,CORRECT,,0.0,1.0,17.0,0.0,අයිබා මර්නේ හතකවන් කුරු නෑගල් යකල්ල බෝගුමුවා කින් තැදින් හතාකරන්නේ එනිතන දැදුරුව
Call recording 251128_064500,Medium,Low,ASR_FAILURE,repetitive/degenerate (repetition_rate=0.35),1.0,1.0,25.0,0.3529411764705882,මිස් ගම්පා මේ දෙන්ස් බළණ්ඩ මෙලාවය අරටින පස් මිස් ගම්පා මෙය දැන් පොතන මෙය ප්රොෂකය
Call recording 251128_145834,Medium,Medium,CORRECT,,0.0,1.0,39.0,0.027027027027027,ආපදා කළමුණා කරනීනේ මේ කුළොන් හව මීතට පුල්ලපාරෙන් කථා කරන්නේ ලයිත් කනුපැත්තටල් පු
Call recording 251128_173111,High,Medium,ASR_FAILURE,no keywords or context features fired,0.0,1.0,63.0,0.0508474576271186,ලෝක් කරම් ස්බේ එයාන්න හිරවලායින් මොඩු රමීබේ අධ්‍රාරිකර්ම් කෙළැ කිව්වේයේ කවුත් කව
Call recording 251129_111451,High,Medium,ASR_FAILURE,no keywords or context features fired,0.0,1.0,30.0,0.0384615384615384,එලොත් එලොත් එලොත් එලොත් එලොත් කතාකරේ මගේ ආලුවා උදේනම් මට නැකේච් කරල්ලකින්න යාගේ 
Call recording 251130_061344,Low,High,MODEL_OVERRIDE,"text signal present, acoustics also closer to true class (z=0.96 vs 1.04 for predicted) - model still got it wrong",0.0,1.0,36.0,0.0,අයිකු අමා කියා මම පැයිතුම් එකිනි කතා කරන්න යනවාඩුයි දන් මටා අද සේවයට අනිවාඩි වහක
Call recording 251130_182300,Medium,Medium,CORRECT,,0.0,1.0,52.0,0.0869565217391304,මීලබැම්මට මින්ස්කල මේ ස්රවුමතුරණන් ජැන්ද එහැලැදිනාන ක්‍රන්න කොන්න වතුරවාතු කන්න 
Call recording 251201_114612,Low,Low,CORRECT,,0.0,1.0,54.0,0.0816326530612244,එලොව් මම කතාර්තේ වූ මතියත් රැට එකුලන්නෙක් කතීති මතුරන් පුත්තලවි. මොතුරන් පැත්වීම
Call recording 251201_154056,High,High,CORRECT,,0.0,1.0,50.0,0.0652173913043478,අය්බෝන්ස් මිස් නොම්බල හැත්තක්හත මෙයින් නළදරංකට්ටුරේ දෙන්නෙක් සිකුරුවාද ඉඳලා කිරව
Call recording 7251127_124019,Low,Low,CORRECT,,0.0,1.0,13.0,0.0,අයිබෝන් අපට යලගෙන් මස්වීතික තාව ස්මාජ්‍ර කල මේ පැලපැමන් නෑකිල තහවුරුකයින් හාවු! 
